student,grp,take_exam,social,gender,pretest,posttest,exam,Fi,CBi,Vi,MApi,PApi
user0081,G151,1,0,1,0.18,0.91,91,0.5,0.75,0.93,0.83,0.61
user0018,G151,1,0,1,0.09,0.27,84,0.5,0.35,0.87,0.78,0.56
user0031,G151,0,0,1,0.36, ,-1,0.58,0.25,0.67,0.67,0.67
user0063,G151,1,0,1,0.27, ,80,0.42,0.65,0.67,0.67,0.67
user0033,G151,1,0,0,0,0.09,75,0.67,0.4,0.87,0.61,0.78
user0044,G151,1,0,0,0.09,0,54,0.58,0.45,0.67,0.67,0.67
user0007,G151,1,0,1,0.09,1,81,0.58,0.15,0.67,0.67,0.67
user0012,G151,1,0,1,0.18,0.36,33,0.42,0.3,0.4,0.67,0.67
user0068,G151,1,0,1,0.27,0.82,87,0.67,0.6,0.93,0.67,0.67
user0083,G151,1,0,1,0.09,0.82,89,0.5,0.65,0.8,0.61,0.83
user0015,G151,1,0,1,0.27, ,85,0.58,0.85,0.73,0.78,0.83
user0021,G151,1,0,1,0.18, ,93,0.67,0.65,1,0.94,0.83
user0041,G151,1,0,1,0.09, ,57,0.83,0.9,1,0.83,1
user0076,G151,1,0,1,0.45,0.82,84,0.5,0.75,0.67,0.83,0.67
user0023,G151,1,0,0,0.36,0.55,87,0.67,0.7,0.93,0.78,0.72
user0039,G151,1,0,1,0.64,0.18,82,0.5,0.7,0.73,0.94,1
user0075,G151,1,0,1,0.55,0.64,78,0.75,0.6,1,0.94,0.94
user0088,G151,1,0, , ,0.73,68, , , , , 
user0005,G151,1,0,1,0.64,1,90,0.75,0.8,1,0.89,0.33
user0025,G151,1,0,1,0.09, ,69,0.67,0.3,1,1,0
user0059,G151,1,0,1,0.09,0.36,66,0.75,0.6,0.53,0.83,0
user0070,G151,1,0,1,0.27,0.91,60,0.5,0.7,0.93,1,0.56
user0004,G151,1,0,1,0,0.73,90,0.42,0.4,0.47,0.44,0.67
user0051,G151,1,0,1,0.09,0.64,91,0.58,0.25,0.6,0.72,0.94
