student,grp,take_exam,social,gender,pretest,posttest,exam,Fi,CBi,Vi,MApi,PApi
user0389,G154,1,0,1,0.36,0.73,94,0.75,0.8,1,0.78,0.83
user0420,G154,1,0,0,0.18,0.82,94,0.5,0.85,0.67,0.94,1
user0582,G155,0,1, , , ,-1, , , , , 
user0587,G155,0,1, , , ,-1, , , , , 
user0590,G155,1,1, , , ,96, , , , , 
user0507,G155,1,1,0,0.09, ,28,0.58,0.45,0.6,0.72,0
user0514,G155,1,1,1,0.27, ,80,0.67,0.55,0.4,0.5,0.61
user0536,G155,1,1,1,0, ,56,0.58,0.15,0.67,0.72,0.5
user0562,G155,0,1,1,0.09, ,-1,0.42,0.45,0.6,0.56,0.44
user0565,G155,0,1,0,0.27, ,-1,0.75,0.35,0.67,0.72,0.17
user0568,G155,0,1,1,0, ,-1,0.5,0,0.33,0.61,0.17
user0585,G155,0,1,1,0.09, ,-1,0.33,0.4,0.53,0.56,0.17
user0526,G155,1,1,1,0.09,0.64,32,0.33,0.6,0.27,0.28,0.5
user0529,G155,1,1,1,0.09,0,69,0.58,0.35,0.6,0.72,0.39
user0532,G155,1,1,1,0.18,0.18,56,0.33,0.25,0.47,0.5,0.44
user0541,G155,1,1,1,0.18,0.73,78,0.25,0.5,0.67,0.39,0.56
user0543,G155,1,1,1,0.09,0.27,59,0.33,0.25,0.33,0.5,0.5
user0523,G155,1,1,1,0.45,0.73,96,0.75,0.75,0.73,0.72,0.56
user0528,G155,1,1,1,0,0.73,54,0.5,0.25,0.67,0.61,0.61
user0567,G155,1,1,1,0.18,0.36,29,0.33,0.5,0.6,0.61,0.44
user0570,G155,1,1,1,0.18,0.55,66,0.42,0.45,0.6,0.67,0.11
user0580,G155,1,1,0,0.18,0.36,55,0.33,0.25,0.67,0.61,0.33
user0572,G155,1,1,0,0, ,0,0.58,0.6,0.87,0.83,0
user0577,G155,0,1,0,0.64, ,-1,0.5,0.6,0.73,0.78,0.56
user0579,G155,0,1,0,0.18, ,-1,0.67,0.1,1,0.83,0.17
user0506,G155,1,1,1,0.73, ,78,0.67,0.45,0.67,0.72,0.72
user0537,G155,1,1,1,0.09, ,91,0.42,0.1,0.87,0.56,0.83
user0558,G155,0,1,1,0, ,-1,0.5,0.45,0.6,0.44,0.83
user0559,G155,0,1,0,0.09, ,-1,0.5,0.5,0.8,0.67,0.67
user0569,G155,0,1,1,0.45, ,-1,0.58,0.5,0.67,0.67,0.67
user0505,G155,1,1,1,0.09,0.45,58,0.58,0.5,0.8,0.44,0.67
user0557,G155,1,1,1,0.09,0.64,91,0.58,0.5,0.73,0.61,0.83
user0503,G155,0,1,1,0.36, ,-1,0.83,1,0.93,0.94,1
user0519,G155,0,1,1,0.18, ,-1,0.67,0.55,1,0.83,0.89
user0552,G155,0,1,1,0.09, ,-1,0.58,0.7,0.73,0.89,1
user0544,G155,1,1,1,0.09,0.18,44,0.58,0.3,0.67,0.83,0.78
user0513,G155,1,1,1,0,0.73,50,0.83,0.55,0.8,0.89,1
user0549,G155,1,1,1,0.09,0.27,75,0.58,0.5,0.67,0.78,0.83
user0571,G155,1,1,0,0.18,0.45,67,0.42,0.3,0.53,0.78,0.72
user0535,G155,1,1, , ,0.45,70, , , , , 
user0533,G155,1,1,0,0.09, ,82,0.58,0.5,0.6,0.72,0.61
user0554,G155,1,1,1,0.27, ,85,0.5,0.7,0.6,0.61,0.5
user0531,G155,1,1,1,0.09,0.27,83,0.58,0.4,0.8,0.5,0.5
user0538,G155,1,1,1,0.36,0.09,52,0.67,0.7,1,0.5,0.5
user0563,G155,1,1,1,0,0.73,92,0.5,0.35,0.6,0.33,0.61
user0566,G155,1,1,1,0.18,0.55,95,0.42,0.45,0.53,0.39,0.56
user0578,G155,1,1,0,0.18,0.82,95,0.42,0.55,0.4,0.61,0.61
user0530,G155,1,1,0,0, ,75,0.5,0.4,0.8,0.44,0.5
user0560,G155,1,1,0,0,0.27,57,0.25,0.3,0.2,0.5,0.5
user0510,G155,1,1,0,0.18, ,90,0.75,0.65,0.93,0.94,0.44
user0574,G155,1,1,1,0, ,80,0.67,0.85,1,0.83,0.5
user0553,G155,1,1,0,0.18,0.73,94,0.58,0.9,0.73,0.83,0.17
user0583,G155,1,1,1,0.36,0.82,85,0.5,0.75,0.47,0.22,0.67
user0561,G155,1,1,1,0.82,0.73,70,0.58,0.55,0.53,0.61,0.67
user0512,G155,1,1,0,0,0.73,96,0.5,0.25,0.6,0.67,0.67
user0524,G155,1,1,1,0.18, ,61,0.58,0.65,0.73,0.72,0.67
user0539,G155,1,1,1,0.27,0.82,100,0.58,0.6,0.67,0.67,0.67
user0547,G155,1,1,1,0.18,0.91,97,0.58,0.45,0.6,0.67,0.67
user0573,G155,1,1,0,0,0.55,90,0.58,0.5,0.67,0.67,0.67
user0511,G155,1,1,0,0.18,0.82,85,0.75,0.1,0.6,0.78,0.72
user0517,G155,1,1,1,0.18,0.64,89,0.17,0.55,0.47,0.83,0.83
user0548,G155,1,1,0,0,0.09,60,0.75,0.5,1,0.78,0.67
user0581,G155,1,1,1,0.82,0.91,95,0.75,0.95,0.87,0.83,0.72
user0545,G155,0,1, ,0.55, ,-1, , , , , 
user0586,G155,0,1, , , ,-1, , , , , 
user0508,G155,1,1, ,0.09,0.09,76, , , , , 
user0527,G155,1,1,0,0.18,0.36,93,0.42,0.25,0.6,0.67,0.17
user0564,G155,1,1,1,0.09,0,95,0.42,0.55,0.67,0.39,0.5
user0575,G155,1,1,1,0.09,0.27,87,0.42,0.6,0.47,0.67,0.5
user0576,G155,1,1,0,0.27,0.36,60,0.17,0.15,0.33,0.33,0.06
user0504,G155,1,1,0,0.18,0.64,59,0.33,0.5,0.87,0.39,0
user0522,G155,1,1,1,0.18,0.55,92,0.58,0.5,0.6,0.72,0.39
user0555,G155,1,1,1,0.27,0.82,87,0.58,0.5,0.6,0.61,0.44
user0534,G155,1,1,0,0.09,0.73,87,0.58,0,0.87,0.83,0.44
user0551,G155,1,1,1,0.73, ,92,0.58,0.65,0.47,0.78,0.33
user0509,G155,1,1,0,0.09,0.82,60,0.58,0.3,0.6,0.78,0.17
user0584,G155,1,1,1,0.36,0.82,94,0.58,0.6,0.6,0.67,0.83
user0525,G155,1,1,1,0.73,0.91,94,0.67,0.45,0.73,0.67,0.67
user0540,G155,1,1,1,0,0.91,90,0.75,0.7,1,0.67,0.67
user0550,G155,1,1,1,0.91,0.64,98,0.83,0.7,1,0.67,0.89
user0546,G155,1,1,1,0.55, ,83,0.75,0.7,0.87,0.83,0.94
user0516,G155,1,1,1,0.18,0.82,88,1,0.8,1,0.94,0.67
user0518,G155,1,1,0,0.45,0.91,93,0.83,0.9,0.93,0.83,0.67
user0520,G155,1,1,1,0.36,0.82,95,0.67,0.8,1,0.94,0.72
user0515,G155,1,1,1, ,1,91,0.75,0.75,0.87,1,0.72
user0521,G155,1,1,0,0.55,0.91,98,0.67,0.55,0.8,0.78,0.67
user0542,G155,1,1,0,0.27,0.82,89,0.67,0.65,0.87,0.83,0.83
user0711,G156,0,1, , , ,-1, , , , , 
user0715,G156,1,1, , , ,41, , , , , 
user0687,G156,1,1, , , ,34, , , , , 
user0628,G156,0,1,1,0, ,-1,0.33,0.1,0.47,0.39,0.5
user0639,G156,1,1,1,0.18, ,57,0.58,0.05,0.6,0.61,0.61
user0655,G156,0,1,1,0.73, ,-1,0.67,0.7,0.73,0.67,0.5
user0656,G156,0,1,1,0.09, ,-1,0.58,0,0.6,0.67,0.5
user0664,G156,0,1,0,0.09, ,-1,0.5,0.3,0.6,0.44,0.17
user0696,G156,1,1,1,0.09, ,51,0.5,0.15,0.4,0.67,0.5
user0704,G156,1,1,1,0.27, ,55,0.42,0.65,0.73,0.72,0.33
user0709,G156,1,1,1,0.36, ,46,0.67,0.65,0.73,0.56,0.44
user0633,G156,1,1,1,0.18,0.64,93,0.58,0.5,0.67,0.56,0.5
user0644,G156,1,1,1,0.18,0.36,73,0.67,0.5,0.93,0.72,0.61
user0646,G156,1,1,1,0.09,0.27,82,0.58,0.25,0.6,0.67,0.5
user0671,G156,1,1,1,0.18,0.18,44,0.58,0.5,0.73,0.72,0.56
user0685,G156,1,1,1,0.09,0.73,96,0.5,0.4,0.47,0.33,0.39
user0700,G156,1,1,1,0,0.36,63,0.5,0.65,0.67,0.56,0.5
user0632,G156,1,1,1,0.09,0.73,74,0.67,0.5,0.6,0.56,0.28
user0638,G156,1,1,1,0.18,0.55,92,0.67,0.65,0.6,0.61,0.61
user0672,G156,1,1,0,0.09,0.64,62,0.42,0.45,0.67,0.72,0
user0674,G156,1,1,1,0.45,0.36,54,0.5,0.2,0.67,0.61,0.39
user0689,G156,1,1,1,0.18,0.45,60,0.5,0.4,0.67,0.67,0.5
user0691,G156,1,1,0,0.09,0.36,73,0.42,0.35,0.8,0.28,0.61
user0697,G156,1,1,1,0.18,0.18,56,0.5,0.7,0.4,0.33,0.61
user0630,G156,0,1,1,0.82, ,-1,0.67,0.7,0.67,0.78,0
user0661,G156,1,1,0,0, ,95,0.33,0.55,0.8,0.83,0.22
user0708,G156,0,1,1,0.36, ,-1,0.67,0.75,0.8,0.83,0.5
user0643,G156,1,1,1,0.36,0.73,79,0.58,0.65,0.93,0.83,0
user0654,G156,1,1,1,0.09,0.55,89,0.67,1,1,1,0
user0675,G156,0,1,0,0.09, ,-1,0.5,0.45,0.67,0.61,0.67
user0683,G156,1,1,0,0.09,0.45,70,0.5,0.05,0.73,0.72,0.72
user0699,G156,0,1,1,0.09, ,-1,0.42,0.5,0.53,0.5,0.72
user0702,G156,0,1,1,0.09, ,-1,0.42,0.5,0.53,0.67,0.67
user0706,G156,0,1,1,0.73, ,-1,0.67,0.75,0.67,0.67,0.67
user0649,G156,1,1,1,0.09,0.36,73,0.58,0.4,0.67,0.61,0.67
user0688,G156,1,1,1,0.18,0.64,85,0.67,0.1,0.67,0.56,0.72
user0692,G156,1,1,1,0.36,0.55,87,0.5,0.7,0.73,0.61,0.72
user0636,G156,1,1,1,0.18,0.45,86,0.5,0.7,0.53,0.5,0.67
user0626,G156, ,1,0, , , ,1,1,1,1,1
user0647,G156,0,1,1,0.45, ,-1,0.5,0.6,0.73,0.78,0.83
user0666,G156,0,1,1,0.27, ,-1,0.92,0.9,0.73,0.83,0.83
user0669,G156,1,1,1,0.18, ,84,0.92,0.6,0.87,0.94,1
user0676,G156,1,1,1,0.82, ,84,0.67,0.85,0.93,0.78,0.94
user0693,G156,1,1,0,0.27, ,77,0.58,0.7,0.87,0.89,0.83
user0670,G156,1,1,0,0.64,1,92,0.42,0.55,0.67,0.78,0.78
user0698,G156,1,1,1,0.27, ,53,0.42,0.5,0.47,0.44,0.5
user0705,G156,1,1,1,0.36, ,60,0.5,0.75,0.73,0.44,0.28
user0640,G156,1,1,1,0.09,0.55,81,0.5,0.3,0.67,0.5,0.56
user0653,G156,1,1,1,0.82, ,94,0.75,0.85,0.8,0.56,0.61
user0658,G156,1,1,1,0.18,0.73,61,0.58,0.75,0.6,0.56,0.5
user0690,G156,1,1,0,0.09,0.55,91,0.42,0,0.67,0.5,0.5
user0695,G156,1,1,0,0,0.09,85,0.33,1,0.73,0.5,0.5
user0673,G156,1,1,1,0,0.55,79,0.33,0,0.67,0.44,0.33
user0657,G156,1,1,1,0.09,0.45,61,0.42,0.65,0.6,1,0.5
user0663,G156,1,1,1,0.36,0.64,79,0.58,0.5,0.6,0.78,0.33
user0665,G156,1,1,0,0.18, ,86,0.5,0.2,0.33,0.67,0.78
user0667,G156,1,1,1,0.36,0.73,85,0.58,0.45,0.73,0.67,0.83
user0645,G156,1,1,1,0.18,0.91,90,0.58,0.65,0.6,0.78,0.78
user0662,G156,1,1,0,0,0,53,0.5,0.4,0.73,0.83,0.83
user0701,G156,1,1,0,0.09,0.36,91,0.75,0.5,1,0.89,0.72
user0634,G156,1,1,0, ,0.64,95,0.67,0.4,0.67,0.89,0.83
user0668,G156,1,1,1,0.09,0.55,89,0.67,0.35,0.67,0.78,0.72
user0710,G156,1,1,0,0.18,0.45,86,0.67,0.6,0.87,0.78,0.83
user0678,G156,1,1,0,0.27,0.91,91,0.5,0.35,0.4,0.56,0.5
user0684,G156,1,1,0,0.09,0.36,50,0.25,0.15,0.6,0.33,0.44
user0707,G156,1,1,0,0.09,0,47,0.67,0.25,0.8,0.61,0.44
user0694,G156,0,1,0,0, ,-1,0.67,0.7,0.67,0.78,0.28
user0686,G156,1,1,0,0,0.64,89,0.92,0.75,0.93,0.83,0.44
user0629,G156,1,1,1,1,1,91,0.42,0.6,0.67,0.67,0.72
user0677,G156,1,1,0,0.09,0.64,71,0.42,0.35,0.67,0.72,0.72
user0631,G156,1,1,1,0.09,0.73,98,0.5,0.45,0.6,0.72,0.83
user0635,G156,1,1,1,0.18,0.73,91,0.42,0.3,0.6,0.67,0.72
user0641,G156,1,1,0,0.09,0.18,55,0.33,0.55,0.47,0.72,0.94
user0659,G156,1,1,1,0.09,0.64,95,0.58,0.1,0.87,0.83,0.83
user0703,G156,1,1,1,0.09, ,67,0.5,0.65,0.8,0.78,0.72
user0660,G156,1,1,1,0.64,0.82,85,0.67,0.8,1,0.83,0.89
user0680,G156,1,1,1,0.73,1,96,0.58,0.75,0.67,0.83,0.67
user0637,G156,1,1,1,0.18,0.73,90,0.58,0.3,0.67,0.89,0.72
user0642,G156,1,1,0,0.18,1,99,0.92,0.65,0.8,0.94,0.78
user0648,G156,1,1,1,0.18,0.27,69,0.67,0.5,0.8,0.89,0.67
user0650,G156,1,1,1,0.27,0.91,92,0.67,0.6,0.67,1,0.78
user0651,G156,1,1,1,0.73,0.91,93,0.67,0.5,1,0.83,0.83
user0652,G156,1,1,0,0.27,1,99,0.58,0.6,0.73,0.78,0.72
user0679,G156,1,1,1,0.09,0.64,95,0.75,0.5,0.67,0.89,0.67
user0780,G157,0,1, ,0.09, ,-1, , , , , 
user0809,G157,0,1, , , ,-1, , , , , 
user0830,G157,0,1, , , ,-1, , , , , 
user0837,G157,0,1, , , ,-1, , , , , 
user0840,G157,1,1, , , ,55, , , , , 
user0836,G157,1,1, , , ,81, , , , , 
user0755,G157,1,1,1,0.18, ,50,0.33,0,0.67,0.5,0.5
user0757,G157,1,1,1,0, ,86,0.67,0.5,0.87,0.67,0.56
user0801,G157,1,1,1,0.09, ,86,0.67,0.65,0.67,0.56,0.28
user0811,G157,1,1,1,0.09, ,89,0.25,0.45,0.53,0.5,0.44
user0813,G157,1,1,1,0.18, ,90,0.58,0.55,0.8,0.72,0.61
user0820,G157,0,1,1,0.09, ,-1,0.58,0.25,0.53,0.5,0.5
user0822,G157,0,1,1,0.09, ,-1,0.67,0.5,0.53,0.5,0.5
user0834,G157,0,1,1,0, ,-1,0.5,0.5,0.67,0.61,0.61
user0765,G157,1,1,1,0.09,0.45,82,0.33,0.4,0.6,0.5,0
user0770,G157,1,1,1,0.09,0,66,0.17,0.25,0.33,0.28,0.22
user0785,G157,1,1,1,0.09,0.82,94,0.42,0.15,0.53,0.39,0.56
user0799,G157,1,1,1,0.09,0.82,91,0.5,0.35,0.73,0.61,0.17
user0804,G157,1,1,0,0.18,0.36,60,0.25,0,0.13,0.72,0.5
user0806,G157,1,1,1,0.27,1,67,0.42,0.7,0.67,0.72,0.33
user0826,G157,1,1,1,0.45,0.36,94,0.58,0.6,0.67,0.72,0.5
user0835,G157,1,1,0,0.09, ,51,0.5,0.15,0.93,0.56,0.33
user0764,G157,1,1,1,0.18,0.91,98,0.5,0.45,0.6,0.56,0.44
user0777,G157,1,1,0,0.09,0.64,89,0.58,0.2,0.67,0.67,0.44
user0766,G157,1,1,1,0.55, ,90,1,0.9,0.8,0.83,0.56
user0795,G157,1,1,1,0.18, ,79,0.67,0.65,0.73,0.83,0.56
user0823,G157,0,1,1,0, ,-1,0.33,0.25,0.6,0.78,0.56
user0783,G157,1,1,1,0.18,0.55,80,0.42,0.1,0.8,0.78,0.56
user0793,G157,1,1,1,0,0.91,63,0.67,0.55,0.87,0.89,0.5
user0763,G157,1,1,0,0.09,0.64,86,0.58,0.5,0.6,0.83,0.61
user0786,G157,1,1,0,0.09,0.36,68,0.5,0.1,0.53,0.78,0.44
user0789,G157,0,1,1,0.09, ,-1,0.33,0.25,0.8,0.5,0.67
user0805,G157,1,1,1,0.09, ,45,0.5,0.5,0.87,0.67,0.72
user0756,G157,1,1,0,0.09,0.36,79,0.5,0.6,0.67,0.61,0.72
user0782,G157,1,1,1,0.09,0.64,77,0.58,0.1,0.67,0.67,0.67
user0784,G157,1,1,1,0.18,1,92,0.58,0.65,0.67,0.72,0.67
user0810,G157,1,1,1,0.18,0.91,92,0.67,0.15,0.53,0.61,0.67
user0829,G157,1,1,1,0.09,1,95,0.58,0.2,0.6,0.67,0.67
user0831,G157,1,1,1,0.27,0.64,88,0.58,0.2,1,0.67,1
user0774,G157,0,1,1,0.64, ,-1,0.58,0.35,0.67,0.83,0.78
user0816,G157,1,1,0,0.18, ,66,0.67,0.65,0.67,0.83,0.67
user0833,G157,1,1,1,0.09, ,47,0.5,1,0.67,1,1
user0752,G157,1,1,0,0.18,0.55,89,0.67,0.65,0.93,0.83,0.83
user0776,G157,1,1,1,0.18,0.91,88,0.67,0.75,0.67,0.83,0.78
user0779,G157,1,1,1,0.36,0.55,79,0.5,0.6,0.8,0.94,0.78
user0814,G157,1,1,1,0.09,0.18,65,0.58,0.65,0.67,0.78,0.72
user0768,G157,1,1,1,0.09, ,60,0.33,0.5,0.67,0.67,0.61
user0802,G157,0,1,0,0.64, ,-1,0.5,0.6,0.87,0.61,0.11
user0818,G157,1,1,1,0.55, ,83,0.33,0.35,0.47,0.22,0.5
user0781,G157,1,1,0,0.27,0,66,0.5,0.45,0.6,0.67,0.44
user0791,G157,1,1,1,0.09,0.73,69,0.5,0.65,0.47,0.5,0.56
user0797,G157,1,1,0,0.18,0.82,89,0.58,0.35,0.67,0.67,0.44
user0812,G157,1,1,1,0,0.64,88,0.42,0.35,0.67,0.44,0.39
user0815,G157,1,1,0,0.09,0.73,94,0.67,0.3,0.6,0.5,0.39
user0824,G157,1,1,1,0,0.82,94,0.58,0.25,0.47,0.5,0
user0825,G157,1,1,0,0.09,0.45,95,0.33,0.2,0.6,0.5,0.61
user0790,G157,1,1,0,0.18,0.45,65,0.5,0.35,0.67,0.61,0.5
user0803,G157,1,1,1,0.09,0.45,25,0.42,0.45,0.67,0.5,0.22
user0827,G157,1,1,1,0.18,0.27,82,0.75,0.6,0.67,0.72,0.67
user0794,G157,0,1,1,0.09, ,-1,0.75,0.5,0.8,0.94,0.67
user0817,G157,1,1,1,0.18,0.73,76,0.58,0.65,0.6,0.78,0.78
user0832,G157,0,1,1,0.91, ,-1,0.75,0.8,1,0.83,0.67
user0769,G157,1,1,1,0.09,0.73,85,0.67,0.45,0.93,0.89,0.83
user0819,G157,1,1,1,0.18,0.82,83,0.67,0.5,0.67,0.83,0.83
user0838,G157,1,1, , ,0.55,84, , , , , 
user0778,G157,1,1,0,0.09, ,31,0.33,0.45,0.53,0.61,0.5
user0788,G157,0,1,1,0.09, ,-1,0.5,0.3,0.6,0.44,0.22
user0808,G157,1,1,1,0.36, ,88,0.42,0.55,0.67,0.61,0.61
user0753,G157,1,1,1,0.09,0.64,91,0.58,0.55,0.87,0.67,0
user0758,G157,1,1,1,0.55,1,100,0.5,0.6,0.67,0.5,0
user0754,G157,0,1,1,0.18,0.18,-1,0.5,0.65,0.53,0.67,0.5
user0775,G157,0,1,1,0.18, ,-1,0.75,0.3,0.87,0.89,0.22
user0762,G157,1,1,1,0.27,1,90,0.83,0.7,0.67,0.83,0.56
user0772,G157,1,1,1,0.45,0.82,90,0.92,0.9,1,1,0.61
user0771,G157,0,1,1,0, ,-1,0.58,0.6,0.8,0.56,0.83
user0800,G157,1,1,0,0.27, ,89,0.5,0.5,0.53,0.61,0.67
user0759,G157,1,1,1,0.18,0.55,83,0.58,0.5,0.67,0.67,0.67
user0807,G157,1,1,0,0.09,0.55,91,0.58,0.05,0.73,0.67,0.67
user0773,G157,1,1,0,0.36,0.64,88,0.67,0.75,0.6,0.72,0.83
user0787,G157,1,1,1,0.09,0.82,93,1,0.65,0.73,0.67,0.67
user0828,G157,1,1,1,0.09,0.55,87,0.5,0.35,1,0.56,0.67
user0796,G157,1,1,1,0.18, ,52,0.5,0.45,0.53,0.89,0.72
user0760,G157,1,1,1,0.09,0.91,97,0.67,0.45,0.73,0.89,0.67
user0761,G157,1,1,1,0.82,0.91,94,0.92,1,0.8,1,1
user0767,G157,1,1,1,0.73,0.91,79,0.67,0.75,1,0.83,0.94
user0792,G157,1,1,1,0.09,0.64,87,0.25,0.3,0.6,0.83,1
user0798,G157,1,1,1,0.09,0.45,92,0.92,0.85,0.93,0.83,0.72
user0821,G157,1,1,0,0.27,0.82,94,0.75,0.5,0.73,0.94,0.67
user0945,G158,0,1, , , ,-1, , , , , 
user0955,G158,0,1, , , ,-1, , , , , 
user0961,G158,0,1, , , ,-1, , , , , 
user0962,G158,0,1, , , ,-1, , , , , 
user0963,G158,0,1, , , ,-1, , , , , 
user0964,G158,1,1, , , ,67, , , , , 
user0901,G158,0,1,1,0.09, ,-1,0.33,0.1,0.6,0.72,0.28
user0905,G158,1,1,1,0.27, ,86,0.42,0.55,0.6,0.61,0.17
user0921,G158,1,1,1,0.45, ,85,0.67,0.9,0.87,0.67,0.61
user0928,G158,0,1,0,0.09, ,-1,0.42,0.55,0.87,0.67,0
user0931,G158,1,1,1,0.45, ,92,0.67,0.6,0.47,0.56,0.56
user0932,G158,0,1,0,0.09, ,-1,0.33,0.1,0.47,0.56,0.44
user0941,G158,0,1,1,0, ,-1,0.5,0.25,0.6,0.5,0.5
user0949,G158,0,1,1,0.09, ,-1,0.58,0.35,0.8,0.72,0.28
user0877,G158,1,1,1,0.09,0.45,57,0.5,0.5,0.6,0.28,0.5
user0889,G158,1,1,1,0.09,0.27,64,0.58,0.15,0.67,0.5,0.28
user0893,G158,1,1,1,0.09,0.09,64,0.67,0.05,1,0.28,0.39
user0926,G158,1,1,1,0.27,0.73,76,0.33,0.45,0.33,0.5,0.5
user0933,G158,1,1,0,0.09,0.09,75,0.33,0.25,0.6,0.33,0.33
user0936,G158,1,1,1,0,0.09,25,0.58,0.65,0.53,0.67,0.39
user0910,G158,1,1,1,0.27,0.73,95,0.58,0.35,0.67,0.72,0.61
user0929,G158,1,1,1,0.18,0.36,78,0.5,0.6,0.6,0.67,0.5
user0940,G158,1,1,0,0.18,0.27,92,0.5,0.05,0.67,0.61,0.5
user0947,G158,1,1,1,0,0.45,90,0.58,0.5,0.6,0.5,0.5
user0951,G158,1,1,1,0.45,0.36,58,0.42,0.7,0.8,0.61,0.5
user0886,G158,1,1,1,0.09, ,65,0.58,0.65,0.67,0.89,0.56
user0894,G158,0,1,1,0, ,-1,0.5,0.15,0.67,0.78,0
user0911,G158,0,1,1,0.09, ,-1,0.33,0.55,1,0.83,0.33
user0924,G158,1,1,1,0.27, ,84,0.58,0.45,0.67,0.94,0.5
user0948,G158,0,1,1,0.55, ,-1,0.58,0.8,0.67,0.83,0
user0879,G158,1,1,1,0.18,0.82,99,0.67,0.4,0.6,0.83,0.44
user0939,G158,1,1,0,0.09,0.36,86,0.5,0.6,0.87,0.83,0.39
user0943,G158,1,1,1,0,0.36,58,0.58,0.65,0.6,0.83,0.61
user0958,G158,1,1,0,0.45,0.55,38,0.67,0.4,1,0.94,0.56
user0881,G158,1,1,1,0, ,68,0.5,0.55,0.6,0.5,0.83
user0887,G158,1,1,1,0.27, ,91,0.67,0.8,0.93,0.67,0.78
user0960,G158,0,1,1,0.09, ,-1,0.5,0.75,0.67,0.72,0.72
user0895,G158,1,1,1,0.09,0.36,96,0.5,0.3,0.67,0.72,0.83
user0906,G158,1,1,1,0.18,0.09,69,0.5,0.7,0.6,0.5,0.72
user0950,G158,1,1,1,0.27,0.45,90,0.58,0.6,0.67,0.61,0.67
user0956,G158,1,1,1,0.09,0.27,59,0.42,0.55,0.67,0.39,0.67
user0908,G158,1,1,0,0.18,0.82,86,0.58,0.4,0.6,0.72,0.72
user0937,G158,1,1,1,0.09,0.27,55,0.58,0.2,0.93,0.67,0.72
user0938,G158,1,1,1,0.18,0.18,86,0.5,0.6,0.67,0.67,0.83
user0903,G158,1,1,1,0.09, ,77,0.83,0.6,1,0.83,0.83
user0913,G158,0,1,1,0.18, ,-1,0.75,0.65,0.93,0.78,0.78
user0935,G158,0,1,1,0.09, ,-1,0.67,0.4,0.6,0.78,0.67
user0944,G158,0,1,1,0.18, ,-1,0.75,0.65,0.73,0.83,0.67
user0952,G158,0,1,1,0.64, ,-1,1,0.85,1,1,1
user0957,G158,1,1,0,0.64, ,97,0.75,0.85,0.93,0.83,0.67
user0915,G158,1,1,0,0.09,0.27,55,0.58,0.55,0.93,0.89,0.67
user0907,G158,1,1,1,0.09,1,95,0.58,0.8,0.8,0.89,0.67
user0880,G158,1,1,1,0.36,0.45,71,0.5,0.65,0.53,0.56,0.61
user0897,G158,1,1,1,0.09,0.45,90,0.58,0.2,0.67,0.5,0.5
user0919,G158,0,1,0,0.27,1,-1,0.17,0.25,0.2,0.22,0.33
user0923,G158,1,1,1,0,0.73,57,0.58,0.5,0.6,0.61,0.56
user0904,G158,1,1,1,0.27, ,81,0.58,0.7,0.67,0.56,0.67
user0925,G158,1,1,1,0.18, ,61,0.58,0.35,0.67,0.72,0.83
user0922,G158,0,1,1,0.91, ,-1,0.75,1,0.93,1,0.89
user0882,G158,1,1,1,0.18,0.73,100,0.83,0.65,0.6,1,1
user0934,G158,1,1,0,0,0.64,86,1,1,0.93,1,1
user0878,G158,1,1,1,0.27,0.73,93,0.58,0.6,0.67,0.83,0.67
user0890,G158,1,1,1,0.18,0.45,64,0.83,0.4,0.93,0.83,1
user0891,G158,1,1,1,0.09,0.45,93,0.67,0.65,0.73,1,0.67
user0898,G158,1,1,1,0.18,0.45,39,0.83,0.7,0.93,0.78,0.72
user0927,G158,1,1,1,0,0.64,90,0.75,0.3,0.93,0.94,0.78
user0888,G158,0,1,1,0.18, ,-1,0.5,0.5,0.67,0.39,0.56
user0909,G158,1,1,0,0.09, ,27,0,0,0.33,0.56,0.5
user0892,G158,1,1,1,0.09,0.64,54,0.5,0.45,0.8,0.61,0.56
user0953,G158,1,1,1,0.09,0.64,91,0.5,0.1,0.67,0.56,0.56
user0884,G158,1,1,1,0,0.36,84,0.58,0.55,0.73,0.5,0.56
user0920,G158,1,1,0,0.09,0.64,89,0.5,0.65,0.47,0.22,0.44
user0930,G158,1,1,1,0.55,0.73,86,0.58,0.65,0.73,0.56,0.56
user0954,G158,0,1,1,0.45, ,-1,0.92,0.8,1,0.83,0.61
user0899,G158,1,1,0,0.27,0.91,90,0.83,0.75,0.93,0.83,0.56
user0918,G158,1,1,1,0.55, ,96,0.83,0.75,0.93,0.72,0.72
user0916,G158,1,1,0,0,0.73,86,0.5,0.25,0.6,0.72,0.83
user0942,G158,1,1,1,0.27,0.82,96,0.33,0.25,0.6,0.61,0.67
user0896,G158,1,1,0,0.09, ,87,0.83,0.9,0.87,0.89,0.83
user0959,G158,0,1,1,0.45, ,-1,0.58,0.75,0.93,0.78,0.67
user0883,G158,1,1,1,0.09,0.64,97,0.75,0.75,0.73,0.89,0.89
user0885,G158,1,1,1,0.27,0.45,70,0.58,0.3,0.67,0.78,0.67
user0902,G158,1,1,0,0.18,0.55,53,0.58,0.5,0.6,0.78,0.78
user0912,G158,1,1,0,0.18,1,98,0.75,0.55,0.87,0.78,0.78
user0914,G158,1,1,0,0.27,0.55,96,0.67,0.7,0.87,0.94,0.83
user0900,G158,1,1,1,0.91,0.91,89,0.75,0.85,0.87,0.83,0.78
